time_s,kid_height_m,python_height_m,kid_T_K,python_T_K,delta_T_python_minus_kid_K,kid_qv,python_qv,delta_qv_python_minus_kid,kid_cloud,kid_rain,kid_total_condensed,python_qc,python_qc_over_kid_cloud,kid_total_water,python_total_water,total_water_difference,python_S_percent,kid_RH_percent
30.0,25.0,29.702707820422823,297.6651916503906,297.6192418857311,-0.04594976465949685,0.014959459193050861,0.014959459193050861,0.0,0.0,0.0,0.0,0.0,,0.014959459193050861,0.014959459193050861,0.0,-23.71343780909815,75.5135269165039
60.0,50.0,43.69503500776,297.421142578125,297.48252402745646,0.0613814493314635,0.014949706383049488,0.014959459193050861,9.752810001373291e-06,0.0,0.0,0.0,0.0,,0.014949706383049488,0.014959459193050861,9.752810001373291e-06,-23.209118245757807,76.3832015991211
90.0,75.0,66.6324440287878,297.1771240234375,297.2584045229785,0.0812804995409806,0.014946150593459606,0.014959459193050861,1.3308599591255188e-05,0.0,0.0,0.0,0.0,,0.014946150593459606,0.014959459193050861,1.3308599591255188e-05,-22.373890774496143,77.29654693603516
120.0,100.0,97.95013974851234,296.93310546875,296.9524019383067,0.019296469556707052,0.014951225370168686,0.014959459193050861,8.233822882175446e-06,0.0,0.0,0.0,0.0,,0.014951225370168686,0.014959459193050861,8.233822882175446e-06,-21.216204044407103,78.26765441894531
150.0,125.0,136.87697656084092,296.6890563964844,296.5720510726403,-0.1170053238440687,0.014958169311285019,0.014959459193050861,1.2898817658424377e-06,0.0,0.0,0.0,0.0,,0.014958169311285019,0.014959459193050861,1.2898817658424377e-06,-19.74883798601133,79.26255798339844
180.0,175.0,182.45444655268938,296.2010192871094,296.12671742660456,-0.0743018605048178,0.01495575625449419,0.014959459193050861,3.7029385566711426e-06,0.0,0.0,0.0,0.0,,0.01495575625449419,0.014959459193050861,3.7029385566711426e-06,-17.98978011831402,81.20716094970703
210.0,225.0,233.56028114990798,295.71295166015625,295.62736659254193,-0.08558506761431772,0.014955727383494377,0.014959459193050861,3.7318095564842224e-06,0.0,0.0,0.0,0.0,,0.014955727383494377,0.014959459193050861,3.7318095564842224e-06,-15.963234831348528,83.219970703125
240.0,300.0,288.9360850941719,294.9808654785156,295.0862942452376,0.10542876672195689,0.014939447864890099,0.014959459193050861,2.0011328160762787e-05,0.0,0.0,0.0,0.0,,0.014939447864890099,0.014959459193050861,2.0011328160762787e-05,-13.700664228891164,86.25360107421875
270.0,350.0,347.2183223106175,294.4927978515625,294.5168233815988,0.02402553003628327,0.01494657713919878,0.014959459193050861,1.2882053852081299e-05,0.0,0.0,0.0,0.0,,0.01494657713919878,0.014959459193050861,1.2882053852081299e-05,-11.24172728521618,88.4533920288086
300.0,400.0,406.9718906913198,294.0047302246094,293.9329762642532,-0.07175396035614767,0.014953392557799816,0.014959459193050861,6.066635251045227e-06,0.0,0.0,0.0,0.0,,0.014953392557799816,0.014959459193050861,6.066635251045227e-06,-8.63495439300783,90.71549987792969
330.0,475.0,466.7254590720221,293.27264404296875,293.34912914690767,0.07648510393892138,0.014940883964300156,0.014959459193050861,1.857522875070572e-05,0.0,2.635979212683992e-10,2.635979212683992e-10,0.0,,0.014940884227898077,0.014959459193050861,1.857496515278445e-05,-5.937973729049324,94.0904541015625
