w_m_s,aerosol_N_m3,aerosol_radius_m,aerosol_kappa,dt_s,requested_t_end_s,saturation_time_s,activation_time_s,time_to_activation_s,time_from_saturation_to_activation_s,activated_fraction,S_at_activation,Sc_at_activation,SSmax,SSmax_percent,time_of_SSmax_s,fraction_at_SSmax,Nc_final,qc_final,qv_final,mean_radius_um,T_final_K,p_final_Pa,height_gain_m,simulation_time_s,water_error,stop_reason
0.2,10000000.0,5e-08,0.3,0.25,3600.0,470.75,492.25,21.5,21.5,1.0,0.0023304213484659237,0.0023081392698530937,0.005597628659751857,0.5597628659751857,551.75,1.0,10000000.0,0.0011337527939089527,0.007036247206091074,30.319360635050938,278.93802986546945,82450.51873984792,719.9999999998929,3600.0,2.6020852139652106e-17,requested simulation time reached
0.2,50000000.0,5e-08,0.3,0.25,3600.0,470.75,492.25,21.5,21.5,0.59516659839117,0.0023304213484659237,0.0023081392698530937,0.0036825813282994357,0.3682581328299436,516.5,0.5951428449788723,29758329.919558503,0.001135704394329879,0.007034295605670066,21.091005082540978,278.94288942826466,82450.68912073935,719.9999999998929,3600.0,-5.551115123125783e-17,requested simulation time reached
0.2,100000000.0,5e-08,0.3,0.25,3600.0,470.75,492.25,21.5,21.5,0.4082645318828899,0.0023304213484659237,0.0023081392698530937,0.0032509177780290156,0.32509177780290155,509.75,0.4081862772159429,40826453.188288994,0.0011360509367389,0.007033949063261101,18.9829344876486,278.9437523326711,82450.7197108299,719.9999999998929,3600.0,0.0,requested simulation time reached
0.2,200000000.0,5e-08,0.3,0.25,3600.0,470.75,492.25,21.5,21.5,0.27009320485464977,0.0023304213484659237,0.0023081392698530937,0.0029318325235057263,0.29318325235057263,504.75,0.2699654718864375,54018640.97092996,0.00113630228211729,0.007033697717882586,17.292631521265665,278.94437819267506,82450.74190311626,719.9999999998929,3600.0,-1.249000902703301e-16,requested simulation time reached
0.5,10000000.0,5e-08,0.3,0.25,3600.0,188.25,197.0,8.75,8.75,1.0,0.002357350406573198,0.0023081452639105863,0.010400677125225877,1.0400677125225877,255.5,1.0,10000000.0,0.0028729827848682147,0.005297017215131786,39.884241278903154,273.1497766057269,72529.11107475784,1755.625,3511.25,0.0,warm-cloud temperature limit reached
0.5,50000000.0,5e-08,0.3,0.25,3600.0,188.25,197.0,8.75,8.75,1.0,0.002357350406573198,0.0023081452639105863,0.005068287560017736,0.5068287560017736,217.0,1.0,50000000.0,0.002879408951338471,0.005290591048661642,23.340331967313666,273.1499002772157,72515.24377953718,1757.25,3514.5,1.1275702593849246e-16,warm-cloud temperature limit reached
0.5,100000000.0,5e-08,0.3,0.25,3600.0,188.25,197.0,8.75,8.75,0.8152561521200424,0.002357350406573198,0.0023081452639105863,0.004190997484473658,0.41909974844736586,210.5,0.815167551345134,81525615.21200424,0.002880360702943531,0.005289639297056472,19.83243054737907,273.1498274475433,72513.10292454764,1757.5,3515.0,3.469446951953614e-18,warm-cloud temperature limit reached
0.5,200000000.0,5e-08,0.3,0.25,3600.0,188.25,197.0,8.75,8.75,0.5629989109327734,0.002357350406573198,0.0023081452639105863,0.003608326878048419,0.3608326878048419,207.0,0.5626133233025092,112599782.18655469,0.0028808379570599766,0.005289162042940063,17.80942863569621,273.1497944647707,72512.0332470792,1757.625,3515.25,3.9898639947466563e-17,warm-cloud temperature limit reached
1.0,10000000.0,5e-08,0.3,0.25,3600.0,94.25,98.5,4.25,4.25,1.0,0.0023572859935489677,0.0023081452639105863,0.01733967073833068,1.733967073833068,151.25,1.0,10000000.0,0.0028635357836450403,0.0053064642163549195,39.84435505124279,273.1494591226022,72549.26547710718,1753.25,1753.25,-3.9898639947466563e-17,warm-cloud temperature limit reached
1.0,50000000.0,5e-08,0.3,0.25,3600.0,94.25,98.5,4.25,4.25,1.0,0.0023572859935489677,0.0023081452639105863,0.00789183798994676,0.7891837989946761,119.25,1.0,50000000.0,0.002876416698171228,0.005293583301828789,23.333021814428253,273.14977763486803,72521.5210432286,1756.5,1756.5,1.734723475976807e-17,warm-cloud temperature limit reached
1.0,100000000.0,5e-08,0.3,0.25,3600.0,94.25,98.5,4.25,4.25,1.0,0.0023572859935489677,0.0023081452639105863,0.00574273339604307,0.5742733396043069,111.75,1.0,100000000.0,0.002879085702778685,0.00529091429722129,18.52462265660089,273.149095375423,72515.05383187764,1757.25,1757.25,-2.42861286636753e-17,warm-cloud temperature limit reached
1.0,200000000.0,5e-08,0.3,0.25,3600.0,94.25,98.5,4.25,4.25,0.9322974333553793,0.0023572859935489677,0.0023081452639105863,0.004461455793932694,0.44614557939326943,106.75,0.9322352257164624,186459486.67107585,0.002880337193242897,0.005289662806757073,15.052649888995372,273.14976890745436,72512.98117636344,1757.5,1757.5,-2.949029909160572e-17,warm-cloud temperature limit reached
2.0,10000000.0,5e-08,0.3,0.25,3600.0,47.25,49.25,2.0,2.0,1.0,0.0023571571641734243,0.0023081452639105863,0.029248455207098595,2.9248455207098596,95.0,1.0,10000000.0,0.0028445436647774568,0.005325456335222547,39.763826537488995,273.1485798425534,72589.6083017401,1748.5,874.25,3.469446951953614e-18,warm-cloud temperature limit reached
2.0,50000000.0,5e-08,0.3,0.25,3600.0,47.25,49.25,2.0,2.0,1.0,0.0023571571641734243,0.0023081452639105863,0.01305037760589107,1.305037760589107,68.5,1.0,50000000.0,0.0028704217395017864,0.005299578260498216,23.318355776169803,273.14950632343863,72534.07873167972,1755.0,877.5,1.734723475976807e-18,warm-cloud temperature limit reached
2.0,100000000.0,5e-08,0.3,0.25,3600.0,47.25,49.25,2.0,2.0,1.0,0.0023571571641734243,0.0023081452639105863,0.009251372244823567,0.9251372244823567,62.25,1.0,100000000.0,0.002875768763828119,0.005294231236171906,18.51820539558854,273.14816425253906,72521.14127166668,1756.5,878.25,2.42861286636753e-17,warm-cloud temperature limit reached
2.0,200000000.0,5e-08,0.3,0.25,3600.0,47.25,49.25,2.0,2.0,1.0,0.0023571571641734243,0.0023081452639105863,0.0065831017729965635,0.6583101772996564,57.75,1.0,200000000.0,0.0028784263438663797,0.0052915736561336395,14.702126628323695,273.1498962745464,72517.03004975188,1757.0,878.5,1.9081958235744878e-17,warm-cloud temperature limit reached
3.0,10000000.0,5e-08,0.3,0.25,3600.0,31.5,33.0,1.5,1.5,1.0,0.0026267497979351384,0.002308205205909684,0.03984849801817755,3.9848498018177554,74.75,1.0,10000000.0,0.002825417124638741,0.005344582875361252,39.68226258338091,273.1473658481848,72629.99676043834,1743.75,581.25,-6.938893903907228e-18,warm-cloud temperature limit reached
3.0,50000000.0,5e-08,0.3,0.25,3600.0,31.5,33.0,1.5,1.5,1.0,0.0026267497979351384,0.002308205205909684,0.01768233620601667,1.7682336206016669,50.75,1.0,50000000.0,0.0028644127325289123,0.005305587267471096,23.303628288779628,273.14920003117624,72546.6409278757,1753.5,584.5,8.673617379884035e-18,warm-cloud temperature limit reached
3.0,100000000.0,5e-08,0.3,0.25,3600.0,31.5,33.0,1.5,1.5,1.0,0.0026267497979351384,0.002308205205909684,0.012478597967131326,1.2478597967131326,45.25,1.0,100000000.0,0.0028724468964038577,0.005297553103596129,18.511771931622004,273.1472208575575,72527.22990747092,1755.75,585.25,-1.3877787807814457e-17,warm-cloud temperature limit reached
3.0,200000000.0,5e-08,0.3,0.25,3600.0,31.5,33.0,1.5,1.5,1.0,0.0026267497979351384,0.002308205205909684,0.008792484692892226,0.8792484692892226,41.25,1.0,200000000.0,0.0028764378527580945,0.00529356214724191,14.69914109789055,273.1498303106307,72521.06197471204,1756.5,585.5,5.204170427930421e-18,warm-cloud temperature limit reached
